Gas,M,hfo,a,b,c,d,e,f,g
N2,28.013,0,3.675000E+00,-1.208000E-03,2.324000E-06,-6.320000E-10,-2.260000E-13,0.000000E+00,0.000000E+00
O2,31.999,0,3.626000E+00,-1.878000E-03,7.055000E-06,-6.764000E-09,2.156000E-12,0.000000E+00,0.000000E+00
H2O,18.0155,-241820,4.070000E+00,-1.108000E-03,4.152000E-06,-2.964000E-09,8.070000E-13,0.000000E+00,0.000000E+00
H2 ,2.016,0,3.057000E+00,2.677000E-03,-5.810000E-06,5.521000E-09,-1.812000E-12,0.000000E+00,0.000000E+00
CO2,44.01,-393520,2.401000E+00,8.735000E-03,-6.607000E-06,2.002000E-09,0.000000E+00,0.000000E+00,0.000000E+00
CO ,28.0105,-110530,3.710000E+00,-1.619000E-03,3.692000E-06,-2.032000E-09,2.400000E-13,0.000000E+00,0.000000E+00
Ar,39.948,0,2.500000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
